ID,Aktivität,Teil,n,Bezeichnung,Gruppe
242,Bestückung SMT,BS-VKF05h-B,2,SMD-Baugruppe Ladegeräte Mittellader 24V bis 30A,
243,Bestückung SMT,BS-VKI10k-C,2,SMD-Baugruppe Ladewandler 24V 12V25A / MT-LB 2425,
244,Bestückung SMT,BS-VAD04g-D,1,SMD-Baugruppe Kombiladegeräte VAC 60-15-30 Hauptplatine,
245,Bestückung SMT,BS-VAH03a-P8-A,1,SMD-Baugruppe Inverter SMI 3000 Leistungsteil Prototyp,
246,Bestückung SMT,BS-VAI06a-P6-A,1,SMD-Baugruppe Inverter SMI 3000 Prototyp,
247,Bestückung SMT,BS-VAI07b-XA,1,SMD-bestückte Platine D+ Simulator Pro,
248,Bestückung SMT,BS-VKI10k-E,1,SMD-Baugruppe Ladewandler DCDC VCC 12V 24V25A,
249,Bestückung THT,BK-VAC04d-A-01,70,THT-Baugruppe Tankgeber Tankelektrode 15-50 K,
250,Bestückung THT,BK-VKE07h-A-03,58,THT-Baugruppe Wechselrichter SMI 1700 Sinus NVS,
251,Bestückung THT,BK-VAG01e-A-01,54,THT-Baugruppe Ladewandler VCC 1212-30 / 1212-20 C,
252,Bestückung THT,BK-VAG03d-B-01,51,THT-Baugruppe Ladewandler VCC 1212-50,
253,Bestückung THT,BK-VAF01d-A-01,37,THT-Baugruppe Kleinlader Pb 1215 / 1220,
254,Bestückung THT,BK-VAG06c-A-01,37,THT-Baugruppe VAC 12V 24V DUO max. 60A PFC,
255,Bestückung THT,BK-VAF02b-B-02,35,THT-Baugruppe Ladewandler VCC 1212 70-90,
256,Bestückung THT,BK-VIF07b-01,30,THT-Baugruppe Ladegeräte StandBy Lader 12V,
257,Bestückung THT,BK-VKC07m-B-04,30,THT-Baugruppe Ladegeräte VAC Leistungsteil 12V 40A (Wietmarscher),
258,Bestückung THT,BK-VAC04d-A-03,29,THT-Baugruppe Tankgeber Tankelektrode 15-50 K,
259,Bestückung THT,BK-VKF01d-A-01,29,THT-Baugruppe Peripherie Battery Protector 40,
260,Bestückung THT,BK-VAI07b-XA-01,28,THT-Baugruppe Peripherie D+ Simulator Pro,
261,Bestückung THT,BK-VAF01d-C-11,27,THT-Baugruppe Kleinlader VAC 1224/24 16A Station,
262,Bestückung THT,BK-VAI01a-B-03,27,THT-Baugruppe Solarregler MPP 260 CI,
263,Bestückung THT,BK-VKF05g-A-10,27,THT-Baugruppe Ladegeräte VAC 1250/1260,
264,Bestückung THT,BK-VAI01a-C-05,26,THT-Baugruppe Solarregler MPP 360 CI,
265,Bestückung THT,BK-VKF04b-B-02,25,THT-Baugruppe Anzeigen LED-Tank-Display HE 010 ovale LEDs,
266,Bestückung THT,BK-VAC04d-C-04,24,THT-Baugruppe Tankgeber Tankelektrode 95 K-FL (Kärcher),
267,Bestückung THT,BK-VKC08e-B-04,24,THT-Baugruppe Ladegeräte VAC Duo Steuerteil Wietmarscher,
268,Bestückung THT,BK-VAD04g-C-03,23,THT-Baugruppe Kombiladegeräte VBCS 30-20-250 Hauptplatine,
269,Bestückung THT,BK-VKE08c-A-01,23,THT-Baugruppe Peripherie Battery Protector 100,
270,Bestückung THT,BK-VKF05g-B-06,23,THT-Baugruppe Ladegeräte VAC 2425 F/M 3A,
271,Bestückung THT,BK-VAF01d-A-02,22,THT-Baugruppe Kleinlader VAC 1215 / 1220 F/M 3A,
272,Bestückung THT,BK-VAF01d-B-04,22,THT-Baugruppe Kleinlader Pb 1225 / 1230,
273,Bestückung THT,BK-VBA03a-XA-01,22,THT-Baugruppe Ladegeräte StandBy Charger Pro 12V,
274,Bestückung THT,BK-VKC07m-B-05,22,THT-Baugruppe Ladegeräte VAC Leistungsteil 12V 20A (Wietmarscher),
275,Bestückung THT,BK-VAA09b-P-14,21,"THT-Baugruppe Anzeigen LCD Solarcomputer S, LCD Batteriecomputer S, LCD Charge Control S",
276,Bestückung THT,BK-VAD04g-E-05,20,THT-Baugruppe Kombiladegeräte VAC 45-10-25 Hauptplatine,
277,Bestückung THT,BK-VAI01a-C-07,20,THT-Baugruppe Solarregler MPP 440 CI,
278,Bestückung THT,BK-VAI01b-C-05,20,THT-Baugruppe Solarregler MPPT 360 CI,
279,Bestückung THT,BK-VKF05g-A-02,20,THT-Baugruppe Ladegeräte Pb 1240 SMT 3B,
280,Bestückung THT,BK-VAA04b-A-01,19,THT-Baugruppe Anzeigen Tankanzeige Wasser + Diesel S,
281,Bestückung THT,BK-VAC04d-A-02,19,THT-Baugruppe Tankgeber Tankelektrode 30-110 K FL,
282,Bestückung THT,BK-VAD04g-A-01,19,THT-Baugruppe Kombiladegeräte VBCS 60-40-430 Hauptplatine,
283,Bestückung THT,BK-VKC07m-A-01,18,THT-Baugruppe Ladegeräte VAC Leistungsteil 12V 40A,
284,Bestückung THT,BK-VAA04b-B-01,17,THT-Baugruppe Anzeigen Tankanzeige Abwasser Fäkal S,
285,Bestückung THT,BK-VKC07m-A-02,17,THT-Baugruppe Ladegeräte VAC Leistungsteil 12V 20A,
286,Bestückung THT,BK-VAI01b-B-03,16,THT-Baugruppe Solarregler MPPT 170/260 CI,
287,Bestückung THT,BK-VKD02c-A-01,16,THT-Baugruppe Tankgeber Tanksensor FW,
288,Bestückung THT,BK-VAF01dF-A-13,15,THT-Baugruppe Kleinlader VAC 1215 F 2A SKII,
289,Bestückung THT,BK-VAF08c-A-01,15,THT-Baugruppe Anzeigen VPC Jupiter,
290,Bestückung THT,BK-VKF06d-A-02,15,THT-Baugruppe Peripherie D+ Simulator,
291,Bestückung THT,BK-VKH09e-C-03,15,THT-Baugruppe Wechselrichter SMI 600 Sinus NVS 12V,
292,Bestückung THT,BK-VKI10k-B-04,15,THT-Baugruppe Ladewandler DCDC VCC 1212-45,
293,Bestückung THT,BK-VAC10c-A-01,14,THT-Baugruppe Solarregler SR 150 / SR 230 / SR 300-24,
294,Bestückung THT,BK-VAD04g-B-02,14,THT-Baugruppe Kombiladegeräte VBCS 45-30-350 Hauptplatine,
295,Bestückung THT,BK-VAF01d-B-05,14,THT-Baugruppe Kleinlader VAC 1225 / 1230 M/F 3A,
296,Bestückung THT,BK-VAG06c-B-02,14,THT-Baugruppe VAC 12V 24V 110V max. 80A PFC,
297,Bestückung THT,BK-VAG01e-B-02,13,THT-Baugruppe Ladewandler DCDC 1212-20,
298,Bestückung THT,BK-VKF05g-A-13,13,THT-Baugruppe Ladegeräte Pb 1250 1260,
299,Bestückung THT,BK-VAA05c-A-01,12,THT-Baugruppe Anzeigen Info Panel Pro,
300,Bestückung THT,BK-VAB01b-C-03,12,THT-Baugruppe VBS 2 VPC-ST02 Titan,
301,Bestückung THT,BK-VAD04g-I-09,12,THT-Baugruppe Kombiladegeräte VBCS 60-40-800 HV CI Hauptplatine,
302,Bestückung THT,BK-VAE04a-A-01,12,THT-Baugruppe Ladewandler TS-Battery Charger PFPN 1204,
303,Bestückung THT,BK-VAI01a-A-01,12,THT-Baugruppe Solarregler MPP 170 CI,
304,Bestückung THT,BK-VKF03g-A-04,12,THT-Baugruppe Wechselrichter SMI 1200 Sinus,
305,Bestückung THT,BK-VAF01dF-B-14,11,THT-Baugruppe Kleinlader VAC 12V 25-30A SKII,
306,Bestückung THT,BK-VBA01a-01,11,THT-Baugruppe Schalter Panel 4 S 12/24,
307,Bestückung THT,BK-VKC07m-D-06,11,THT-Baugruppe Ladegeräte VAC Leistungsteil 24V 20A f. Feuerwehr,
308,Bestückung THT,BK-VKE11b-A-01,11,THT-Baugruppe Zisternen SP1 (SpinFlow),
309,Bestückung THT,BK-VKI10k-A-20,11,THT-Baugruppe Ladewandler VCC 1212-25 (VW),
310,Bestückung THT,BK-VBD03b-XA-01,10,THT-Baugruppe Ladegeräte Clesana Power Management LED,
311,Bestückung THT,BK-VIF1b-A-01,10,THT-Baugruppe Tankgeber Tanksensor FL,
312,Bestückung THT,BK-VKA10a-B-02,10,THT-Baugruppe Anzeigen Fernbedienung Lader Anzeige,
313,Bestückung THT,BK-VKF05h-A-02,10,THT-Baugruppe Ladegeräte PB Lader 12V bis 40A,
314,Bestückung THT,BK-VAF02b-E-06,9,THT-Baugruppe Ladewandler VCC 1212 70-90 CI,
315,Bestückung THT,BK-VKC07m-E-08,9,THT-Baugruppe Ladegeräte VAC Leistungsteil 12V 50A,
316,Bestückung THT,BK-VKC08e-B-05,9,THT-Baugruppe Ladegeräte VAC Duo Steuerteil,
317,Bestückung THT,BK-VKE07h-A-04,9,THT-Baugruppe Wechselrichter SMI 1700 Sinus,
318,Bestückung THT,BK-VKF03g-A-03,9,THT-Baugruppe Wechselrichter SMI 1200 Sinus NVS,
319,Bestückung THT,BK-VKF05h-A-13,9,THT-Baugruppe Ladegeräte PB Lader 12V 50 bis 60A,
320,Bestückung THT,BK-VKI05-01,9,THT-Baugruppe Peripherie Plus-Distributor 6,
321,Bestückung THT,BK-VKI10k-D-06,9,THT-Baugruppe Ladewandler DCDC VCC 2412-45,
322,Bestückung THT,BK-VKI10k-F-08,9,THT-Baugruppe Ladewandler VCC 2424-25,
323,Bestückung THT,BK-VAA16a-A-01,8,THT-Baugruppe VBS 2 Equipment Adapter EQ-CI,
324,Bestückung THT,BK-VAD03a-A-01,8,THT-Baugruppe VBS 2 Elektro-Verteilung 14/1,
325,Bestückung THT,BK-VAD04g-J-10,8,THT-Baugruppe Kombiladegeräte VBCS 45-30-600 HV CI Hauptplatine,
326,Bestückung THT,BK-VAF01dF-C-15,8,THT-Baugruppe Kleinlader VAC 24V 16A SKII,
327,Bestückung THT,BK-VKE08c-B-03,8,THT-Baugruppe Peripherie Switch Unit 100,
328,Bestückung THT,BK-VKE11b-B-02,8,THT-Baugruppe Zisternen SP1-FA-LT (SpinFlow),
329,Bestückung THT,BK-VKF10-A-01,8,THT-Baugruppe Zubehör Control Unit Sinus Wechselri. Ein-Aus Steuergerät,
330,Bestückung THT,BK-VAB01b-B-02,7,"THT-Baugruppe VBS 2 VPC-ST01 Terra, Luna, Mars",
331,Bestückung THT,BK-VAE04a-A-02,7,THT-Baugruppe Ladewandler TS-Battery Charger PFPN 1204Fc,
332,Bestückung THT,BK-VAG05a-A-01,7,THT-Baugruppe Ladewandler VCC 1212-50 Displayplatine,
333,Bestückung THT,BK-VAG07b-XA-01,7,THT-Baugruppe VBS 2 Bluetooth Connector S-BC,
334,Bestückung THT,BK-VAI01b-C-07,7,THT-Baugruppe Solarregler MPPT 440 CI,
335,Bestückung THT,BK-VKF05h-A-10,7,THT-Baugruppe Ladegeräte VAC Lader 12V 50 bis 60A,
336,Bestückung THT,BK-VKI10k-E-07,7,THT-Baugruppe Ladewandler DCDC VCC 1224-25,
337,Bestückung THT,BK-VAA03-A-01,6,THT-Baugruppe Zisternen SP1-FA (SpinFlow),
338,Bestückung THT,BK-VAA04b-C-02,6,THT-Baugruppe Anzeigen Duo-Akku-Tester S,
339,Bestückung THT,BK-VAD04g-K-11,6,THT-Baugruppe Kombiladegeräte VBCS 30-20-400 HV CI Hauptplatine,
340,Bestückung THT,BK-VAD41a-A-01,6,THT-Baugruppe Kombiladegeräte VBCS Displayplatine,
341,Bestückung THT,BK-VAF01c-A-01,6,THT-Baugruppe Kleinlader Pb 1215 / 1220,
342,Bestückung THT,BK-VKA10a-E-10,6,THT-Baugruppe Anzeigen Fernbedienung Duo-Lader,
343,Bestückung THT,BK-VKC08e-D-10,6,THT-Baugruppe Ladegeräte VAC Duo Li Steuerteil Wietmarscher,
344,Bestückung THT,BK-VKF01d-B-02,6,THT-Baugruppe Peripherie Switch Unit 40,
345,Bestückung THT,BK-VKI06-01,6,THT-Baugruppe Peripherie Minus-Distributor 12,
346,Bestückung THT,BK-VAA09b-G-07,5,THT-Baugruppe Anzeigen LCD Thermometer-Uhr S,
347,Bestückung THT,BK-VAA09b-H-08,5,THT-Baugruppe Anzeigen LCD Voltmeter S,
348,Bestückung THT,BK-VAA16a-B-02,5,THT-Baugruppe VBS 2 Equipment Adapter EQ-S,
349,Bestückung THT,BK-VAD44c-A-01,5,THT-Baugruppe Kombiladegeräte VBCS CI-Bus Komm.platine,
350,Bestückung THT,BK-VAF01d-C-10,5,THT-Baugruppe Kleinlader VAC 24V 16A Schraubklemme (Ziegler),
351,Bestückung THT,BK-VAG03d-C-02,5,THT-Baugruppe Ladewandler VCC 1212-50 CI,
352,Bestückung THT,BK-VAH05a-A-01,5,THT-Baugruppe Solar Data-Extender,
353,Bestückung THT,BK-VKC08e-A-03,5,THT-Baugruppe Ladegeräte VAC Duo Steuerteil,
354,Bestückung THT,BK-VKC08e-A-08,5,THT-Baugruppe Ladegeräte VAC 1280 2440 M/F 2A Steuerteil,
355,Bestückung THT,BK-VKH09e-A-01,5,THT-Baugruppe Wechselrichter SMI 300 Sinus NVS 12V,
356,Bestückung THT,BK-VKH09e-C-04,5,THT-Baugruppe Wechselrichter SMI 600 Sinus 12V,
357,Bestückung THT,BK-VAA09b-Q-02,4,THT-Baugruppe Anzeigen LCD State of Charge Monitor S,
358,Bestückung THT,BK-VAC10c-B-03,4,THT-Baugruppe Solarregler SR 350,
359,Bestückung THT,BK-VAC12a-A-01,4,THT-Baugruppe Anzeigen Tankanzeige Frischwasser FTA5 (Comet),
360,Bestückung THT,BK-VAD04g-D-04,4,THT-Baugruppe Kombiladegeräte VAC 60-15-30 Hauptplatine,
361,Bestückung THT,BK-VAF01c-A-02,4,THT-Baugruppe Kleinlader VAC 1215 / 1220 F/M 3A,
362,Bestückung THT,BK-VAF01cF-B-14,4,THT-Baugruppe Kleinlader VAC 12V 25-30A SKII,
363,Bestückung THT,BK-VAF01d-C-07,4,THT-Baugruppe Kleinlader Pb 2416 SMT 2B,
364,Bestückung THT,BK-VAG01e-C-03,4,THT-Baugruppe Ladewandler VCC 1212-30 CI,
365,Bestückung THT,BK-VAG06c-B-03,4,THT-Baugruppe VAC 12V 24V max. 80A PFC (Ziegler),
366,Bestückung THT,BK-VKA02a-01,4,THT-Baugruppe Zisternen GEP Schaltbox Zubringerpumpe,
367,Bestückung THT,BK-VKC08e-A-09,4,THT-Baugruppe Ladegeräte Pb 1280 2440 SMT 2B Steuerteil,
368,Bestückung THT,BK-VKF04b-C-03,4,THT-Baugruppe Anzeigen LED-Tank-Display HE 420 ovale LEDs,
369,Bestückung THT,BK-VKF04b-D-02,4,THT-Baugruppe Anzeigen LED-Tank-Display HE 010 Sonderausführung ColdCut,
370,Bestückung THT,BK-VKI10k-C-05,4,THT-Baugruppe Ladewandler DCDC VCC 2412-25,
371,Bestückung THT,BK-VAC03b-A-01,3,THT-Baugruppe VBS 2 Elektro-Verteilung 24/5,
372,Bestückung THT,BK-VAE05d-A-01,3,THT-Baugruppe Shunt Smart Shunt 100-200-400,
373,Bestückung THT,BK-VAF01c-B-04,3,THT-Baugruppe Kleinlader Pb 1225 / 1230,
374,Bestückung THT,BK-VAF01c-C-11,3,THT-Baugruppe Kleinlader VAC 1224/24 16A Station,
375,Bestückung THT,BK-VAF01cF-A-13,3,THT-Baugruppe Kleinlader VAC 1215 F 3A SKII,
376,Bestückung THT,BK-VAF01d-A-16,3,THT-Baugruppe Kleinlader PB 12V 15-20A 4A mit Schraubklemme (Audi),
377,Bestückung THT,BK-VAF01d-C-09,3,THT-Baugruppe Kleinlader VAC 2416 F/M 3A,
378,Bestückung THT,BK-VAF07d-A-01,3,THT-Baugruppe VBS 2 Bus-Adapter SF-CI,
379,Bestückung THT,BK-VBD08a-A-01,3,THT-Baugruppe VZE Verteiler Schell,
380,Bestückung THT,BK-VKD09-A-01,3,THT-Baugruppe Zisternen RWS 2V und 5V digital Geber,
381,Bestückung THT,BK-VKF05g-A-05,3,THT-Baugruppe Ladegeräte VAC 1240 M 3A,
382,Bestückung THT,BK-VKF07c-D-05,3,THT-Baugruppe Masterbox VBS2,
383,Bestückung THT,BK-VAA10-A-01,2,THT-Baugruppe Zisternen SP1-FA-S (SpinFlow),
384,Bestückung THT,BK-VAD04g-F-06,2,THT-Baugruppe Kombiladegeräte MT BCB 40-40 Hauptplatine,
385,Bestückung THT,BK-VAD41a-A-02,2,THT-Baugruppe Kombiladegeräte MT BCB 30-30 40-40 Display Pl.,
386,Bestückung THT,BK-VAD44c-B-02,2,THT-Baugruppe Kombiladegeräte MT BCB CI Komm.platine,
387,Bestückung THT,BK-VAF01c-B-05,2,THT-Baugruppe Kleinlader VAC 1225 / 1230 M/F 3A,
388,Bestückung THT,BK-VAF01cF-C-15,2,THT-Baugruppe Kleinlader VAC 24V 16A SKII,
389,Bestückung THT,BK-VAF05a-A-01,2,THT-Baugruppe Anzeigen LED Remote Control S,
390,Bestückung THT,BK-VAF12a-AA-01,2,THT-Baugruppe VBS 2 WLAN-Interface,
391,Bestückung THT,BK-VAG01d-A-01,2,THT-Baugruppe Ladewandler VCC 1212-30 / 1212-20 C,
392,Bestückung THT,BK-VAG01d-B-02,2,THT-Baugruppe Ladewandler DCDC 1212-20,
393,Bestückung THT,BK-VBC03a-XA-01,2,THT-Baugruppe LCD Energy Monitor CI,
394,Bestückung THT,BK-VBC03a-XB-02,2,THT-Baugruppe LCD Charge Control CI,
395,Bestückung THT,BK-VBD01a-XA-01,2,THT-Baugruppe VZE Modul,
396,Bestückung THT,BK-VBD07b-XC-03,2,THT-Baugruppe VZE TRITON Controller PCB Schell-Phönix,
397,Bestückung THT,BK-VIF07b-02,2,THT-Baugruppe Ladegeräte StandBy Lader 24V,
398,Bestückung THT,BK-VIF9b-01,2,THT-Baugruppe Zisternen TEO digital Hauptplatine (GEP),
399,Bestückung THT,BK-VKC07m-A-07,2,THT-Baugruppe Ladegeräte VAC Leistungsteil 12V 40A f. Feuerwehr,
400,Bestückung THT,BK-VKC07m-C-03,2,THT-Baugruppe Ladegeräte VAC Leistungsteil 24V 20A,
401,Bestückung THT,BK-VKE12-01,2,THT-Baugruppe Zisternen SP1 Relais-Box (SpinFlow),
402,Bestückung THT,BK-VKF05g-B-03,2,THT-Baugruppe Ladegeräte Pb 2425,
403,Bestückung THT,BK-VKF05g-B-09,2,THT-Baugruppe Ladegeräte VAC 2425 Fc 2A,
404,Bestückung THT,BK-VKF05h-B-06,2,THT-Baugruppe Ladegeräte VAC Lader 24V bis 30A,
405,Bestückung THT,BK-VKH06-01,2,THT-Baugruppe Peripherie Plus-Distributor 8,
406,Bestückung THT,BK-VKI04-A-01,2,THT-Baugruppe Wechselrichter Wöhr 3.Ph Wechselr. 24V ALU IP65,
407,Bestückung THT,BK-VKI10k-A-03,2,THT-Baugruppe Ladewandler VCC 1212-25,
408,Bestückung THT,BK-PFS01a-01,1,THT-Baugruppe PFS V8 EMI,
409,Bestückung THT,BK-VAA06-A-01,1,THT-Baugruppe VBS 2 RS232 Interface VBS2 MultiPlus (Schell),
410,Bestückung THT,BK-VAA17-A-01,1,THT-Baugruppe VBS 2 Dimmer Module 4,
411,Bestückung THT,BK-VAC10c-B-05,1,THT-Baugruppe Solarregler SR 550,
412,Bestückung THT,BK-VAE03-01,1,THT-Baugruppe Anzeigen Betriebs Fernanzeige IP67 2081,
413,Bestückung THT,BK-VAF01c-A-12,1,THT-Baugruppe Kleinlader VAC 12V 15A Station,
414,Bestückung THT,BK-VAF01c-C-07,1,THT-Baugruppe Kleinlader Pb 2416 SMT 2B,
415,Bestückung THT,BK-VAF01c-C-09,1,THT-Baugruppe Kleinlader VAC 2416 F/M 3A,
416,Bestückung THT,BK-VAF01c-C-10,1,THT-Baugruppe Kleinlader VAC 24V 16A Schraubklemme (Ziegler),
417,Bestückung THT,BK-VAG02b-A-01,1,THT-Baugruppe Peripherie Battery Protector 300,
418,Bestückung THT,BK-VAK04-A-01,1,THT-Baugruppe Zisternen SP1-FB (SpinFlow),
419,Bestückung THT,BK-VBA02a-XA-01,1,THT-Baugruppe Sirius IO,
420,Bestückung THT,BK-VBD02a-B-02,1,THT-Baugruppe Elektroverteilung VZE-M 12V Gas,
421,Bestückung THT,BK-VBD02a-P3-A-01,1,THT-Baugruppe Elektroverteilung VZE-M Prototyp,
422,Bestückung THT,BK-VBD03a-XA-01,1,THT-Baugruppe Ladegeräte Clesana Power Management,
423,Bestückung THT,BK-VBD07b-XA-01,1,THT-Baugruppe VZE TRITON Controller PCB,
424,Bestückung THT,BK-VBD07b-XB-02,1,THT-Baugruppe VZE SIRIUS Controller PCB,
425,Bestückung THT,BK-VBD08a-P2-A-01,1,THT-Baugruppe VZE Verteiler Schell,
426,Bestückung THT,BK-VIF8b-01,1,THT-Baugruppe Zisternen TEO Anzeige (GEP),
427,Bestückung THT,BK-VIF8b-02,1,THT-Baugruppe Zisternen TEO Hybrid Anzeige (GEP),
428,Bestückung THT,BK-VIF9b-02,1,THT-Baugruppe Zisternen TEO Hybrid dig Hauptplatin (GEP),
429,Bestückung THT,BK-VII9a-01,1,THT-Baugruppe Zisternen Einspeise-Automatik TEA 3 (GEP),
430,Bestückung THT,BK-VKC08e-A-02,1,THT-Baugruppe Ladegeräte VAC 1260 2430 M 3A Steuerteil,
431,Bestückung THT,BK-VKE07h-A-01,1,THT-Baugruppe Wechselrichter MT 1700 SI-N,
432,Bestückung THT,BK-VKE11b-C-03,1,THT-Baugruppe Zisternen SP1-FB-LT (SpinFlow),
433,Bestückung THT,BK-VKF05h-A-15,1,THT-Baugruppe Ladegeräte VAC-F 1250/1260,
434,Bestückung THT,BK-VKF05h-B-03,1,THT-Baugruppe Ladegeräte PB Lader 24V bis 30A,
435,Bestückung THT,BK-VKF05h-B-16,1,THT-Baugruppe Ladegeräte VAC-F 2425 3A,
436,Bestückung THT,BK-VKG02a-B-02,1,THT-Baugruppe Wechselrichter Wöhr 3-Ph Wechselr. 24V ALU,
437,Bestückung THT,BK-VKH07-01,1,THT-Baugruppe Peripherie Minus-Distributor 14,
438,Bestückung THT,BK-VKK03a-A-01,1,THT-Baugruppe Zisternen RWS Digital Plus,
439,Bestückung THT,BK-VKK16e-A-01,1,THT-Baugruppe Zisternen RMC Leistungsteil (GEP),
440,Betriebs-Fernanzeige,MA-2081,1,Gerät fertig montiert Betriebs-Fernanzeige IP67,
441,Elektronik im Gehäus,MA-Tankgeber-09-01,11,"Gerät vergossen, montiert Tanksensor FL",
442,Endmontage,MA-3184,39,Gerät fertig montiert SMI 1700 Sinus ST-NVS,
443,Endmontage,MA-1260-02,30,Gerät montiert LCD Batterie-Computer S,
444,Endmontage,UV-3065,29,"Gerät fertig montiert, geprüft StandBy-Charger 12 V",
445,Endmontage,MA-5311,25,Gerät fertig montiert Frischwassertankanzeige S,
446,Endmontage,MA-VBS-17-01,24,Baugruppe montiert VPC Jupiter,
447,Endmontage,MA-157103184,21,Gerät fertig montiert SMI 1700 (Frankia),
448,Endmontage,MA-055203078,20,Gerät fertig montiert Battery Protector 100 (VW),
449,Endmontage,MA-0052,19,Gerät fertig montiert MasterBox VBS2 mit 200A-Shunt,
450,Endmontage,MA-1288,17,Gerät fertig montiert Schalter-Panel 4 S 12/24,
451,Endmontage,MA-3066,16,Gerät fertig montiert D+ Simulator,
452,Endmontage,MA-5313,15,Gerät fertig montiert Abwassertankanzeige S,
453,Endmontage,MA-0054,14,Gerät fertig montiert MasterBox VBS2 mit 400A-Shunt,
454,Endmontage,UV-0256,14,"Gerät fertig montiert, geprüft Tanksensor FW 120",
455,Endmontage,MA-055103078,12,Gerät fertig montiert Battery Protector 100 (VW),
456,Endmontage,MA-1250-02,12,Gerät montiert LCD-Solar-Computer S,
457,Endmontage,MA-3075,12,Gerät fertig montiert Battery Protector 40,
458,Endmontage,MA-3177,12,Gerät fertig montiert SMI 1200 Sinus ST,
459,Endmontage,MA-5330,12,Gerät fertig montiert Info Panel Pro 12V,
460,Endmontage,UV-0695,12,"Gerät fertig montiert, geprüft TS-Battery Charger PFPN 1204",
461,Endmontage,UV-1295,12,"Gerät fertig montiert, geprüft Hauptschalter-Panel 20A S",
462,Endmontage,UV-130101611,12,"Gerät fertig montiert, geprüft SR 140 Duo Digital (Sunset Solar)",
463,Endmontage,UV-1430,12,"Gerät fertig montiert, geprüft Bluetooth Connector S-BC",
464,Endmontage,MA-2075,11,Gerät fertig montiert Fernbedienung S für Automatic Charger,
465,Endmontage,MA-3073,11,Gerät fertig montiert Battery Protector 40 Motor,
466,Endmontage,MA-5741,11,Gerät fertig montiert VPC-ST01 Terra,
467,Endmontage,UV-0258,11,"Gerät fertig montiert, geprüft Tanksensor FW 240",
468,Endmontage,UV-650451,11,"Gerät fertig montiert, geprüft SP1 (SpinFlow)",
469,Endmontage,MA-1247-02,10,Gerät montiert LCD-Charge-Control S,
470,Endmontage,MA-0035,9,Gerät fertig montiert Master Panel VBS 2,
471,Endmontage,MA-3178,9,Gerät fertig montiert SMI 1200 Sinus ST-NVS,
472,Endmontage,MA-3183,9,Gerät fertig montiert SMI 1700 Sinus ST,
473,Endmontage,UV-0042,9,"Gerät fertig montiert, geprüft Equipment Adapter EQ-BCI",
474,Endmontage,UV-650454,9,"Gerät fertig montiert, geprüft SP1-FA (SpinFlow)",
475,Endmontage,MA-114205771,8,Gerät fertig montiert Titan VBS 2 (ROBEL 3 Tanks),
476,Endmontage,MA-2072,8,Gerät fertig montiert Switch Unit 100,
477,Endmontage,MA-3078,8,Gerät fertig montiert Battery Protector 100,
478,Endmontage,UV-2065,8,"Gerät fertig montiert, geprüft Control Unit für Sinus WR",
479,Endmontage,UV-650453,8,"Gerät fertig montiert, geprüft SP1-FA-LT (SpinFlow)",
480,Endmontage,MA-110103184,7,"Gerät fertig montiert SMI 1700 Sinus ST-NVS ""CS"" MobilPOWER Inverter SMI",
481,Endmontage,MA-5315,7,Gerät fertig montiert Fäkaltankanzeige S,
482,Endmontage,UV-0090,7,"Gerät fertig montiert, geprüft Elektro-Verteilung 14/1",
483,Endmontage,UV-1289,7,"Gerät fertig montiert, geprüft Schalter-Panel 16A S",
484,Endmontage,UV-1291,7,"Gerät fertig montiert, geprüft Schalter-Panel 2 x 16 A S",
485,Endmontage,MA-109105771,6,Gerät fertig montiert Titan VBS 2 (bimobil),
486,Endmontage,MA-110105771,6,Gerät fertig montiert Titan VBS 2 (CS),
487,Endmontage,MA-111100054,6,Gerät fertig montiert MasterBox VBS2 mit 400A-Shunt (Schell),
488,Endmontage,MA-2071,6,Gerät fertig montiert Switch Unit 40,
489,Endmontage,MA-2078,6,Gerät fertig montiert Fernanzeige S nur für Automatic Char Duo,
490,Endmontage,UV-0085,6,"Gerät fertig montiert, geprüft Bus Adapter SF / CI",
491,Endmontage,UV-0696,6,"Gerät fertig montiert, geprüft TS-Battery Charger PFPN 1204Fc",
492,Endmontage,MA-1245,5,Gerät fertig montiert Duo-Akku-Tester S,
493,Endmontage,UV-0043,5,"Gerät fertig montiert, geprüft Equipment Adapter EQ-S",
494,Endmontage,UV-1256,5,"Gerät fertig montiert, geprüft LCD-Voltmeter S",
495,Endmontage,UV-1440,5,"Gerät fertig montiert, geprüft Solar-Data-Extender",
496,Endmontage,MA-1248-02,4,Gerät montiert LCD-Charge-Control S-VCC,
497,Endmontage,MA-155101204-02,4,Gerät montiert LCD-State-of-Charge-Monitor-S (BOS),
498,Endmontage,UV-111100047,4,"Gerät fertig montiert, geprüft RS232 Interface VBS2 / Multi + (Schell)",
499,Endmontage,UV-115105301,4,"Gerät fertig montiert, geprüft Frischwassertankanzeige FTA5 (Comet)",
500,Endmontage,UV-1253,4,"Gerät fertig montiert, geprüft LCD-Thermometer, Uhr, Sensor",
501,Endmontage,UV-1285,4,"Gerät fertig montiert, geprüft Sicherungs-Panel 4 S",
502,Endmontage,UV-143100695,4,"Gerät fertig montiert, geprüft TS-Battery Charger PFPN 1204 (Magirus)",
503,Endmontage,UV-2333,4,"Gerät fertig montiert, geprüft Ladesteckdose 12V/24V mit Klappdeckel",
